United States,23484
Switzerland,26423
Germany,24337
United Kingdom,20534
Netherlands,24162
Australia,17924
Taiwan,17138
New Zealand,16033
Japan,14082
Spain,13481
South Korea,12934
Hong Kong,10372
Singapore,12004
Israel,11479
Russia,7126
Czech Republic,7880
Slovakia,6604
Brazil,5663
Thailand,3566
Mexico,3523
Romania,3317
Philippines,2603
